n;RN;AVL;B-1;B-5;B-10
1;1;1;4;4;4
2;3;5;10;10;10
3;9;13;20;17;17
4;13;18;28;25;25
5;19;27;39;34;34
6;25;36;51;44;44
7;34;49;65;53;53
8;34;52;76;63;63
9;40;60;89;73;73
10;50;73;104;85;85
11;58;84;117;98;95
12;60;92;133;110;107
13;74;109;144;120;117
14;79;118;160;133;130
15;87;129;175;144;141
16;92;136;189;156;153
17;99;155;206;170;166
18;107;167;216;181;179
19;128;184;240;197;192
20;123;191;248;210;205
21;139;207;268;224;219
22;145;221;288;237;232
23;148;227;302;249;246
24;163;248;317;262;258
25;167;262;330;274;273
26;173;259;346;291;287
27;185;286;368;308;300
28;187;291;382;320;313
29;203;315;399;330;327
30;208;316;414;342;340
31;224;341;436;357;352
32;241;356;452;373;370
33;241;364;463;384;384
34;246;369;485;399;399
35;257;396;502;416;411
36;265;403;519;427;428
37;271;425;540;443;444
38;280;429;551;456;457
39;295;451;566;472;476
40;294;461;591;488;487
41;311;480;612;505;506
42;327;496;626;515;521
43;327;511;656;531;535
44;334;517;668;548;552
45;364;549;676;554;565
46;362;556;694;572;580
47;376;580;724;592;596
48;374;585;732;601;610
49;385;601;759;613;623
50;404;614;786;633;639
51;404;628;797;645;653
52;415;643;811;660;670
53;426;658;831;675;680
54;444;675;845;689;701
55;443;688;868;705;711
56;459;712;886;714;727
57;461;709;907;735;743
58;470;725;928;747;756
59;486;745;950;769;777
60;488;762;972;779;787
61;493;778;981;797;800
62;524;803;1000;811;823
63;528;826;1019;825;831
64;524;829;1040;841;855
65;559;867;1066;860;866
66;556;868;1083;875;891
67;556;875;1096;882;898
68;578;900;1124;899;913
69;578;901;1135;915;930
70;589;935;1148;930;944
71;603;951;1174;944;958
72;606;955;1194;955;972
73;626;974;1219;979;989
74;637;995;1233;990;1007
75;642;1011;1255;1005;1020
76;649;1019;1277;1017;1036
77;661;1043;1296;1043;1057
78;667;1059;1308;1058;1073
79;674;1068;1340;1073;1083
80;691;1093;1352;1088;1105
81;693;1099;1382;1102;1120
82;724;1130;1394;1109;1136
83;720;1132;1409;1133;1153
84;742;1156;1432;1146;1167
85;743;1187;1450;1159;1177
86;760;1189;1475;1177;1200
87;755;1208;1486;1192;1210
88;772;1224;1507;1214;1233
89;799;1236;1530;1233;1246
90;795;1255;1551;1241;1264
91;797;1263;1572;1270;1275
92;829;1295;1580;1270;1290
93;832;1297;1604;1289;1311
94;834;1326;1637;1316;1322
95;838;1333;1661;1324;1345
96;864;1365;1664;1340;1358
97;861;1378;1679;1365;1376
98;884;1400;1713;1376;1393
99;897;1418;1742;1404;1417
100;913;1440;1747;1410;1425
101;915;1449;1770;1429;1438
102;924;1460;1795;1440;1460
103;939;1481;1822;1460;1469
104;953;1505;1849;1483;1492
105;954;1517;1868;1488;1502
106;956;1529;1861;1516;1528
107;984;1555;1901;1528;1536
108;1009;1579;1922;1548;1554
109;977;1579;1931;1562;1570
110;1006;1612;1954;1571;1584
111;1028;1627;1968;1593;1601
112;1026;1646;1993;1609;1620
113;1034;1659;2021;1627;1636
114;1043;1652;2027;1645;1655
115;1055;1689;2055;1664;1674
116;1082;1717;2098;1682;1689
117;1098;1731;2124;1698;1700
118;1097;1747;2125;1715;1718
119;1110;1760;2160;1731;1738
120;1108;1758;2181;1740;1745
